Brent + 3Y;;Brent + 2Y;;Brent + 1Y;;Brent + 6M;;WTI + 3Y;;WTI + 2Y;;WTI + 1Y;;WTI + 6M;
Date;COM1 Comdty;Date;COM0 Comdty;Date;COM9 Comdty;Date;COZ8 Comdty;Date;CLK1 Comdty;Date;CLK0 Comdty;Date;CLK9 Comdty;Date;CLX8 Comdty
09.10.2009;79,33;21.10.2015;63,22;10.04.2012;92,94;08.04.2011;107,18;01.05.2017;50,7;29.04.2016;52,39;30.04.2015;66,54;28.04.2014;81,61
12.10.2009;80,54;22.10.2015;63,85;11.04.2012;93,49;11.04.2011;105,1;02.05.2017;49,87;02.05.2016;51,77;01.05.2015;66,46;29.04.2014;81,53
13.10.2009;81,4;23.10.2015;63,27;12.04.2012;92,38;12.04.2011;103,18;03.05.2017;50,23;03.05.2016;51,52;04.05.2015;66,75;30.04.2014;81,4
14.10.2009;82,07;26.10.2015;63,14;13.04.2012;92;13.04.2011;105,09;04.05.2017;49,21;04.05.2016;51,77;05.05.2015;67,29;01.05.2014;81,34
15.10.2009;84,02;27.10.2015;62,73;16.04.2012;91,13;14.04.2011;104,05;05.05.2017;50,5;05.05.2016;52,28;06.05.2015;67,59;02.05.2014;81,19
16.10.2009;84,65;28.10.2015;64,02;17.04.2012;90,99;15.04.2011;106,35;08.05.2017;50,74;06.05.2016;52,93;07.05.2015;67,2;05.05.2014;81,21
19.10.2009;85,37;29.10.2015;63,68;18.04.2012;90,7;18.04.2011;105,23;09.05.2017;50,35;09.05.2016;52,29;08.05.2015;67,65;06.05.2014;81,11
20.10.2009;85,11;30.10.2015;64,25;19.04.2012;88,89;19.04.2011;105,38;10.05.2017;51,01;10.05.2016;53,06;11.05.2015;67,71;07.05.2014;81,59
21.10.2009;87,49;02.11.2015;63,98;20.04.2012;88,7;20.04.2011;107,1;11.05.2017;51,19;11.05.2016;53,54;12.05.2015;67,72;08.05.2014;81,52
22.10.2009;87,41;03.11.2015;64,79;23.04.2012;89,32;21.04.2011;107,55;12.05.2017;50,75;12.05.2016;53,28;13.05.2015;67,55;09.05.2014;81,28
23.10.2009;87,14;04.11.2015;63,7;24.04.2012;89,57;25.04.2011;107,44;15.05.2017;50,74;13.05.2016;52,2;14.05.2015;67,94;12.05.2014;81,38
26.10.2009;85,7;05.11.2015;62,91;25.04.2012;88,87;26.04.2011;107,92;16.05.2017;50,95;16.05.2016;52,57;15.05.2015;67,91;13.05.2014;81,61
27.10.2009;86,24;06.11.2015;62,55;26.04.2012;88,49;27.04.2011;108,71;17.05.2017;51,03;17.05.2016;53,19;18.05.2015;67,54;14.05.2014;81,54
28.10.2009;84,26;09.11.2015;62,64;27.04.2012;88,67;28.04.2011;108,02;18.05.2017;51,2;18.05.2016;53,55;19.05.2015;66,75;15.05.2014;81,68
29.10.2009;86,51;10.11.2015;62,94;30.04.2012;88,87;29.04.2011;108,48;19.05.2017;51,84;19.05.2016;53,86;20.05.2015;67,11;16.05.2014;82
30.10.2009;83,9;11.11.2015;62,04;01.05.2012;88,9;02.05.2011;108,16;22.05.2017;51,94;20.05.2016;53,55;21.05.2015;67,13;19.05.2014;81,92
02.11.2009;85,37;12.11.2015;61,85;02.05.2012;88,96;03.05.2011;106,94;23.05.2017;51,93;23.05.2016;53,94;22.05.2015;66,58;20.05.2014;82,21
03.11.2009;86,74;13.11.2015;61,62;03.05.2012;89,11;04.05.2011;105,99;24.05.2017;51,4;24.05.2016;54,26;26.05.2015;66,46;21.05.2014;82,25
04.11.2009;87,48;16.11.2015;61,73;04.05.2012;88,3;05.05.2011;97,86;25.05.2017;50,21;25.05.2016;54,64;27.05.2015;66,05;22.05.2014;82,54
05.11.2009;86,56;17.11.2015;60,73;07.05.2012;88,82;06.05.2011;95,35;26.05.2017;50,83;26.05.2016;54,82;28.05.2015;66,07;23.05.2014;82,8
06.11.2009;84,67;18.11.2015;60,88;08.05.2012;88,78;09.05.2011;100,06;30.05.2017;51;27.05.2016;55,16;29.05.2015;66,6;27.05.2014;82,79
09.11.2009;86,52;19.11.2015;60,46;09.05.2012;89,11;10.05.2011;100,7;31.05.2017;49,97;31.05.2016;55,16;01.06.2015;66,13;28.05.2014;83,24
10.11.2009;86,22;20.11.2015;60,36;10.05.2012;88,82;11.05.2011;96,66;01.06.2017;49,98;01.06.2016;54,97;02.06.2015;67,01;29.05.2014;83,08
11.11.2009;86,74;23.11.2015;60,52;11.05.2012;88,58;12.05.2011;97,52;02.06.2017;49,75;02.06.2016;55,18;03.06.2015;66,57;30.05.2014;83,32
12.11.2009;85,12;24.11.2015;61,8;14.05.2012;88,9;13.05.2011;98,26;05.06.2017;49,76;03.06.2016;54,6;04.06.2015;65,98;02.06.2014;83,52
13.11.2009;84,46;25.11.2015;62,14;15.05.2012;88,63;16.05.2011;96,99;06.06.2017;49,71;06.06.2016;54,98;05.06.2015;67,24;03.06.2014;83,66
16.11.2009;86,8;26.11.2015;61,74;16.05.2012;89,71;17.05.2011;97,05;07.06.2017;48,99;07.06.2016;55,36;08.06.2015;66,59;04.06.2014;83,53
17.11.2009;87,26;27.11.2015;61,1;17.05.2012;88,88;18.05.2011;98,57;08.06.2017;49,76;08.06.2016;55,61;09.06.2015;67,17;05.06.2014;84,15
18.11.2009;87,94;30.11.2015;60,7;18.05.2012;88,12;19.05.2011;98,04;09.06.2017;49,88;09.06.2016;55,17;10.06.2015;67,66;06.06.2014;84,18
19.11.2009;86,45;01.12.2015;60,68;21.05.2012;88,76;20.05.2011;99,96;12.06.2017;50,02;10.06.2016;54,51;11.06.2015;67,22;09.06.2014;84,41
20.11.2009;86,21;02.12.2015;60,31;22.05.2012;88,84;23.05.2011;99,46;13.06.2017;50,21;13.06.2016;54,47;12.06.2015;66,35;10.06.2014;84,54
23.11.2009;86,25;03.12.2015;60,98;23.05.2012;88,04;24.05.2011;101,61;14.06.2017;49,65;14.06.2016;53,98;15.06.2015;66,75;11.06.2014;84,78
24.11.2009;85,28;04.12.2015;60,87;24.05.2012;88,65;25.05.2011;103,92;15.06.2017;50,35;15.06.2016;53,58;16.06.2015;67,03;12.06.2014;84,71
25.11.2009;87,4;07.12.2015;59,85;25.05.2012;89,01;26.05.2011;103,78;16.06.2017;50,42;16.06.2016;52,29;17.06.2015;67,01;13.06.2014;84,94
26.11.2009;86;08.12.2015;59,7;28.05.2012;89,34;27.05.2011;104;19.06.2017;50,18;17.06.2016;53,67;18.06.2015;67,3;16.06.2014;85,69
27.11.2009;86,54;09.12.2015;59,75;29.05.2012;89,08;30.05.2011;103,73;20.06.2017;50,1;20.06.2016;54,56;19.06.2015;66,59;17.06.2014;86,33
30.11.2009;87,99;10.12.2015;59,69;30.05.2012;87,91;31.05.2011;104,55;21.06.2017;49,77;21.06.2016;54,54;22.06.2015;67,29;18.06.2014;86,63
01.12.2009;88,66;11.12.2015;58,98;31.05.2012;88,18;01.06.2011;102,83;22.06.2017;49,77;22.06.2016;54,59;23.06.2015;66,86;19.06.2014;87,11
02.12.2009;87,44;14.12.2015;57,86;01.06.2012;89,23;02.06.2011;103,78;23.06.2017;49,58;23.06.2016;55,19;24.06.2015;66,42;20.06.2014;86,99
03.12.2009;88,14;15.12.2015;57,91;04.06.2012;87,97;03.06.2011;104,22;26.06.2017;49,62;24.06.2016;53,3;25.06.2015;66,23;23.06.2014;87,31
04.12.2009;87,55;16.12.2015;57,33;05.06.2012;87,33;06.06.2011;103,6;27.06.2017;50,21;27.06.2016;53,04;26.06.2015;66,38;24.06.2014;87,3
07.12.2009;86,7;17.12.2015;57,06;06.06.2012;89,24;07.06.2011;105,6;28.06.2017;50,35;28.06.2016;54,7;29.06.2015;65,81;25.06.2014;87,86
08.12.2009;85,29;18.12.2015;56,79;07.06.2012;88,95;08.06.2011;106,33;29.06.2017;50,69;29.06.2016;56,48;30.06.2015;66,17;26.06.2014;87,66
09.12.2009;82,6;21.12.2015;56,07;08.06.2012;89,61;09.06.2011;104,75;30.06.2017;51,61;30.06.2016;55,36;01.07.2015;65,7;27.06.2014;87,87
10.12.2009;82,12;22.12.2015;55,16;11.06.2012;89,29;10.06.2011;104,52;03.07.2017;52,54;01.07.2016;56,65;02.07.2015;65,63;30.06.2014;87,96
11.12.2009;82,02;23.12.2015;55,52;12.06.2012;89,78;13.06.2011;104,29;05.07.2017;51,27;05.07.2016;55,43;06.07.2015;62,63;01.07.2014;88,78
14.12.2009;82,08;24.12.2015;56,23;13.06.2012;89,48;14.06.2011;103,91;06.07.2017;51,27;06.07.2016;56,53;07.07.2015;62,79;02.07.2014;88,81
15.12.2009;81,94;28.12.2015;55,71;14.06.2012;88,47;15.06.2011;98,87;07.07.2017;50,43;07.07.2016;54,99;08.07.2015;62,97;03.07.2014;88,98
16.12.2009;83,18;29.12.2015;56,64;15.06.2012;86,72;16.06.2011;99,38;10.07.2017;51,23;08.07.2016;55,74;09.07.2015;63,8;07.07.2014;89,34
17.12.2009;82,46;30.12.2015;55,84;18.06.2012;86,54;17.06.2011;99,31;11.07.2017;51,89;11.07.2016;55,63;10.07.2015;64,61;08.07.2014;88,96
18.12.2009;83,09;31.12.2015;56,47;19.06.2012;87,77;20.06.2011;100,34;12.07.2017;51,71;12.07.2016;56,36;13.07.2015;64,82;09.07.2014;88,83
21.12.2009;82,14;04.01.2016;56,06;20.06.2012;89,9;21.06.2011;99,52;13.07.2017;52,05;13.07.2016;55,01;14.07.2015;64,77;10.07.2014;88,4
22.12.2009;82,51;05.01.2016;55,26;21.06.2012;89,51;22.06.2011;101,16;14.07.2017;52,45;14.07.2016;55,24;15.07.2015;63,65;11.07.2014;87,99
23.12.2009;84,06;06.01.2016;54,05;22.06.2012;87,81;23.06.2011;98,67;17.07.2017;52,18;15.07.2016;54,9;16.07.2015;63,08;14.07.2014;88,63
24.12.2009;84,77;07.01.2016;53,24;25.06.2012;88,11;24.06.2011;101,4;18.07.2017;51,9;18.07.2016;54,44;17.07.2015;62,8;15.07.2014;88,04
28.12.2009;85,75;08.01.2016;53,05;26.06.2012;88,2;27.06.2011;101,11;19.07.2017;52,02;19.07.2016;54,89;20.07.2015;62,72;16.07.2014;87,44
29.12.2009;85,92;11.01.2016;51,43;27.06.2012;88,08;28.06.2011;100,83;20.07.2017;51,58;20.07.2016;55,46;21.07.2015;63,4;17.07.2014;86,56
30.12.2009;85,94;12.01.2016;50,13;28.06.2012;88,4;29.06.2011;102,66;21.07.2017;50,81;21.07.2016;54,79;22.07.2015;62,42;18.07.2014;86,23
31.12.2009;85,78;13.01.2016;49,13;29.06.2012;90,74;30.06.2011;102,82;24.07.2017;51,3;22.07.2016;54,65;23.07.2015;61,7;21.07.2014;87,81
04.01.2010;87,52;14.01.2016;49,54;02.07.2012;88,76;01.07.2011;102,27;25.07.2017;51,96;25.07.2016;54,51;24.07.2015;60,95;22.07.2014;87,48
05.01.2010;88,18;15.01.2016;47,41;03.07.2012;88,95;04.07.2011;101,52;26.07.2017;51,98;26.07.2016;54,29;27.07.2015;60,91;23.07.2014;88,04
06.01.2010;89,51;18.01.2016;46,03;04.07.2012;89,08;05.07.2011;102,92;27.07.2017;51,71;27.07.2016;53,22;28.07.2015;61,05;24.07.2014;87,94
07.01.2010;88,93;19.01.2016;46,19;05.07.2012;87,83;06.07.2011;103,18;28.07.2017;51,77;28.07.2016;52,09;29.07.2015;61,11;25.07.2014;88,25
08.01.2010;89,2;20.01.2016;45,99;06.07.2012;88,16;07.07.2011;105,55;31.07.2017;52,17;29.07.2016;51,93;30.07.2015;61,18;28.07.2014;87,53
11.01.2010;88,95;21.01.2016;46,03;09.07.2012;88,09;08.07.2011;104,69;01.08.2017;51,48;01.08.2016;51,18;31.07.2015;60,72;29.07.2014;87,38
12.01.2010;87,36;22.01.2016;48,63;10.07.2012;87,15;11.07.2011;104,44;02.08.2017;51,68;02.08.2016;50,98;03.08.2015;59,47;30.07.2014;87,49
13.01.2010;86,39;25.01.2016;48,64;11.07.2012;87,64;12.07.2011;105,48;03.08.2017;51,27;03.08.2016;51,53;04.08.2015;59,54;31.07.2014;87,02
14.01.2010;86,32;26.01.2016;49,54;12.07.2012;87,82;13.07.2011;106,24;04.08.2017;51,66;04.08.2016;51,72;05.08.2015;59,33;01.08.2014;87,4
15.01.2010;85,13;27.01.2016;50,23;13.07.2012;88,42;14.07.2011;105,15;07.08.2017;51,53;05.08.2016;51,78;06.08.2015;59,83;04.08.2014;87,68
18.01.2010;84,93;28.01.2016;50,25;16.07.2012;89,26;15.07.2011;105,93;08.08.2017;51,13;08.08.2016;52,56;07.08.2015;59,15;05.08.2014;87,81
19.01.2010;85,37;29.01.2016;51,47;17.07.2012;89,39;18.07.2011;104,16;09.08.2017;51,04;09.08.2016;52,61;10.08.2015;60,23;06.08.2014;88,06
20.01.2010;84,22;01.02.2016;50,56;18.07.2012;88,92;19.07.2011;104,67;10.08.2017;49,94;10.08.2016;52,37;11.08.2015;60,01;07.08.2014;88,69
21.01.2010;82,41;02.02.2016;49,53;19.07.2012;90,14;20.07.2011;105,51;11.08.2017;49,83;11.08.2016;53,54;12.08.2015;60,58;08.08.2014;88,19
22.01.2010;80,81;03.02.2016;50,24;20.07.2012;90,18;21.07.2011;105,01;14.08.2017;49,44;12.08.2016;53,96;13.08.2015;60,78;11.08.2014;88,3
25.01.2010;81,56;04.02.2016;50,48;23.07.2012;89,27;22.07.2011;106,09;15.08.2017;49,54;15.08.2016;54,56;14.08.2015;61,21;12.08.2014;88,38
26.01.2010;80,94;05.02.2016;50,22;24.07.2012;90,4;25.07.2011;105,81;16.08.2017;49,48;16.08.2016;55,28;17.08.2015;60,77;13.08.2014;88,81
27.01.2010;79,91;08.02.2016;49,84;25.07.2012;91,67;26.07.2011;105,46;17.08.2017;49,65;17.08.2016;55,92;18.08.2015;60,37;14.08.2014;87,99
28.01.2010;79,68;09.02.2016;47,33;26.07.2012;92,76;27.07.2011;104,17;18.08.2017;50,85;18.08.2016;56,7;19.08.2015;58,88;15.08.2014;88,35
29.01.2010;79,07;10.02.2016;47,67;27.07.2012;94,22;28.07.2011;103,84;21.08.2017;49,79;19.08.2016;56,78;20.08.2015;57,51;18.08.2014;88,37
01.02.2010;80,58;11.02.2016;47,74;30.07.2012;94,83;29.07.2011;103,18;22.08.2017;50,43;22.08.2016;55,62;21.08.2015;55,54;19.08.2014;88,15
02.02.2010;83,14;12.02.2016;50,25;31.07.2012;94,77;01.08.2011;102,98;23.08.2017;50,83;23.08.2016;56,28;24.08.2015;54,11;20.08.2014;87,68
03.02.2010;82,99;15.02.2016;49,98;01.08.2012;93,95;02.08.2011;102,76;24.08.2017;50,51;24.08.2016;55,43;25.08.2015;54,94;21.08.2014;87,53
04.02.2010;79,26;16.02.2016;48,81;02.08.2012;92,55;03.08.2011;100,09;25.08.2017;50,63;25.08.2016;55,62;26.08.2015;55,38;22.08.2014;88,06
05.02.2010;76,87;17.02.2016;50,08;03.08.2012;94,3;04.08.2011;96,12;28.08.2017;50,08;26.08.2016;55,92;27.08.2015;58,72;25.08.2014;88,07
08.02.2010;77,49;18.02.2016;50,11;06.08.2012;94,4;05.08.2011;98,71;29.08.2017;50,65;29.08.2016;55,36;28.08.2015;59,94;26.08.2014;88,18
09.02.2010;79,42;19.02.2016;49,23;07.08.2012;92,47;08.08.2011;95,28;30.08.2017;50,26;30.08.2016;54,69;31.08.2015;61,96;27.08.2014;87,76
10.02.2010;79,52;22.02.2016;50,3;08.08.2012;89,71;09.08.2011;94,21;31.08.2017;51,7;31.08.2016;53,15;01.09.2015;58,1;28.08.2014;87,21
11.02.2010;80,41;23.02.2016;49,35;09.08.2012;89,81;10.08.2011;94,81;01.09.2017;51,78;01.09.2016;51,91;02.09.2015;59,06;29.08.2014;87,24
12.02.2010;79,27;24.02.2016;49,85;10.08.2012;88,89;11.08.2011;94,88;05.09.2017;51,85;02.09.2016;53,13;03.09.2015;58,97;02.09.2014;86,56
15.02.2010;78,84;25.02.2016;49,91;13.08.2012;89,1;12.08.2011;94,74;06.09.2017;51,84;06.09.2016;53,55;04.09.2015;57,96;03.09.2014;86,71
16.02.2010;81,8;26.02.2016;48,82;14.08.2012;89,54;15.08.2011;97,36;07.09.2017;51,9;07.09.2016;54,33;08.09.2015;58,63;04.09.2014;86,7
17.02.2010;82,07;29.02.2016;49,71;15.08.2012;89,5;16.08.2011;96,78;08.09.2017;51,08;08.09.2016;55,9;09.09.2015;57,58;05.09.2014;86,73
18.02.2010;83,19;01.03.2016;49,9;16.08.2012;90,23;17.08.2011;95,35;11.09.2017;51,13;09.09.2016;54,41;10.09.2015;58,65;08.09.2014;87,03
19.02.2010;83,32;02.03.2016;49,63;17.08.2012;89,6;18.08.2011;90,94;12.09.2017;51,08;12.09.2016;54,75;11.09.2015;58,08;09.09.2014;87,22
22.02.2010;83,85;03.03.2016;49,27;20.08.2012;89,78;19.08.2011;91,09;13.09.2017;51,15;13.09.2016;54,24;14.09.2015;56,84;10.09.2014;87,29
23.02.2010;82,54;04.03.2016;50,02;21.08.2012;90,64;22.08.2011;91,98;14.09.2017;51,29;14.09.2016;53,41;15.09.2015;57,33;11.09.2014;87,35
24.02.2010;83,28;07.03.2016;51,62;22.08.2012;90,87;23.08.2011;93,34;15.09.2017;51,52;15.09.2016;53,78;16.09.2015;58,29;12.09.2014;87,24
25.02.2010;81,55;08.03.2016;51,08;23.08.2012;90,44;24.08.2011;94,43;18.09.2017;51,07;16.09.2016;53;17.09.2015;57,95;15.09.2014;87,28
26.02.2010;82,65;09.03.2016;51,9;24.08.2012;89,23;25.08.2011;95,01;19.09.2017;50,82;19.09.2016;53,36;18.09.2015;56,73;16.09.2014;87,51
01.03.2010;81,89;10.03.2016;51,77;27.08.2012;89,91;26.08.2011;95,12;20.09.2017;50,89;20.09.2016;53,34;21.09.2015;58,12;17.09.2014;87,3
02.03.2010;82,67;11.03.2016;52,04;28.08.2012;90,73;29.08.2011;94,92;21.09.2017;50,9;21.09.2016;53,77;22.09.2015;58,28;18.09.2014;87,11
03.03.2010;83,58;14.03.2016;51,28;29.08.2012;91,11;30.08.2011;94,48;22.09.2017;50,94;22.09.2016;54,65;23.09.2015;56,99;19.09.2014;87,22
04.03.2010;83,34;15.03.2016;51,06;30.08.2012;90,65;31.08.2011;93,09;25.09.2017;50,94;23.09.2016;53,33;24.09.2015;57,56;22.09.2014;87
05.03.2010;84,58;16.03.2016;51,8;31.08.2012;90,69;01.09.2011;92,73;26.09.2017;50,91;26.09.2016;54,47;25.09.2015;57,83;23.09.2014;86,66
08.03.2010;85,22;17.03.2016;51,83;03.09.2012;91,19;02.09.2011;90,74;27.09.2017;50,76;27.09.2016;53,6;28.09.2015;56,51;24.09.2014;86,29
09.03.2010;84,72;18.03.2016;51,85;04.09.2012;90,33;05.09.2011;89,38;28.09.2017;50,31;28.09.2016;55,1;29.09.2015;56,47;25.09.2014;86,26
10.03.2010;85,11;21.03.2016;52,3;05.09.2012;91,07;06.09.2011;91,27;29.09.2017;50,58;29.09.2016;55,36;30.09.2015;56,63;26.09.2014;85,82
11.03.2010;84,97;22.03.2016;52,85;06.09.2012;90,66;07.09.2011;92,41;02.10.2017;49,98;30.09.2016;55,8;01.10.2015;55,65;29.09.2014;85,29
12.03.2010;83,8;23.03.2016;52,13;07.09.2012;91,05;08.09.2011;92,17;03.10.2017;49,91;03.10.2016;56,05;02.10.2015;55,72;30.09.2014;84,39
15.03.2010;82,23;24.03.2016;52,08;10.09.2012;91,07;09.09.2011;91,73;04.10.2017;50,03;04.10.2016;56,27;05.10.2015;56,66;01.10.2014;84,52
16.03.2010;83,54;28.03.2016;51,91;11.09.2012;91,14;12.09.2011;91,97;05.10.2017;50,43;05.10.2016;56,76;06.10.2015;58;02.10.2014;83,47
17.03.2010;84,59;29.03.2016;52,12;12.09.2012;90,7;13.09.2011;93,2;06.10.2017;49,59;06.10.2016;56,83;07.10.2015;57,7;03.10.2014;82,97
18.03.2010;84,56;30.03.2016;52,85;13.09.2012;90,49;14.09.2011;93,28;09.10.2017;49,81;07.10.2016;56,52;08.10.2015;57,4;06.10.2014;83,66
19.03.2010;83,2;31.03.2016;53,1;14.09.2012;91,14;15.09.2011;94,06;10.10.2017;50,02;10.10.2016;56,8;09.10.2015;57,97;07.10.2014;83,51
22.03.2010;83,8;01.04.2016;51,78;17.09.2012;90,82;16.09.2011;93,5;11.10.2017;50,31;11.10.2016;56,1;12.10.2015;56,99;08.10.2014;83,68
23.03.2010;83,95;04.04.2016;50,73;18.09.2012;91,3;19.09.2011;91,98;12.10.2017;49,95;12.10.2016;55,93;13.10.2015;57,19;09.10.2014;83,97
24.03.2010;83,17;05.04.2016;50,22;19.09.2012;90,64;20.09.2011;92;13.10.2017;50,1;13.10.2016;56,02;14.10.2015;57,43;10.10.2014;84,12
25.03.2010;83,21;06.04.2016;51,28;20.09.2012;91,9;21.09.2011;91,6;16.10.2017;49,91;14.10.2016;55,88;15.10.2015;57,45;13.10.2014;84,76
26.03.2010;82,69;07.04.2016;50,24;21.09.2012;91,95;22.09.2011;87,41;17.10.2017;49,65;17.10.2016;55,92;16.10.2015;57,86;14.10.2014;84,04
29.03.2010;84,19;08.04.2016;51,8;24.09.2012;91,81;23.09.2011;87,11;18.10.2017;49,89;18.10.2016;56,36;19.10.2015;56,88;15.10.2014;82,58
30.03.2010;84,4;11.04.2016;52,44;25.09.2012;91,17;26.09.2011;88,14;19.10.2017;49,76;19.10.2016;56,91;20.10.2015;57,27;16.10.2014;81,45
31.03.2010;85,7;12.04.2016;53,2;26.09.2012;90,53;27.09.2011;89,59;20.10.2017;49,96;20.10.2016;56,32;21.10.2015;56,89;17.10.2014;81,41
01.04.2010;86,98;13.04.2016;52,78;27.09.2012;90,6;28.09.2011;88,32;23.10.2017;49,74;21.10.2016;56,88;22.10.2015;57,4;20.10.2014;80,56
05.04.2010;88,73;14.04.2016;52,28;28.09.2012;91,63;29.09.2011;89,24;24.10.2017;50,05;24.10.2016;57,05;23.10.2015;56,77;21.10.2014;79,67
06.04.2010;89,22;15.04.2016;50,99;01.10.2012;92,35;30.09.2011;87,87;25.10.2017;50,09;25.10.2016;56,75;26.10.2015;56,79;22.10.2014;79,24
07.04.2010;89,23;18.04.2016;51,12;02.10.2012;92,72;03.10.2011;86,92;26.10.2017;50,07;26.10.2016;56,02;27.10.2015;56,08;23.10.2014;79,86
08.04.2010;89,08;19.04.2016;51,81;03.10.2012;90,76;04.10.2011;85,62;27.10.2017;50,3;27.10.2016;56,01;28.10.2015;57,52;24.10.2014;80,25
09.04.2010;89,52;20.04.2016;53,28;04.10.2012;92,67;05.10.2011;88,35;30.10.2017;50,21;28.10.2016;55,42;29.10.2015;57,2;27.10.2014;80,01
12.04.2010;90,14;21.04.2016;53,09;05.10.2012;92,14;06.10.2011;91,69;31.10.2017;50,11;31.10.2016;54,11;30.10.2015;57,53;28.10.2014;80,28
13.04.2010;89,79;22.04.2016;54,15;08.10.2012;92,24;07.10.2011;90,16;01.11.2017;49,75;01.11.2016;54,17;02.11.2015;57,29;29.10.2014;80,64
14.04.2010;90,92;25.04.2016;54;09.10.2012;92,08;10.10.2011;90,75;02.11.2017;49,68;02.11.2016;53,45;03.11.2015;58,08;30.10.2014;80,42
15.04.2010;91,75;26.04.2016;54,49;10.10.2012;91,72;11.10.2011;91,31;03.11.2017;49,86;03.11.2016;52,97;04.11.2015;56,93;31.10.2014;80,85
16.04.2010;90,59;27.04.2016;55,25;11.10.2012;91,45;12.10.2011;91,11;06.11.2017;49,95;04.11.2016;52,47;05.11.2015;56,75;03.11.2014;81,34
19.04.2010;89,19;28.04.2016;55,31;12.10.2012;91,97;13.10.2011;90,44;07.11.2017;50,32;07.11.2016;53,14;06.11.2015;56,43;04.11.2014;80,86
20.04.2010;89,68;29.04.2016;55,62;15.10.2012;92,67;14.10.2011;91,03;08.11.2017;50,91;08.11.2016;53,38;09.11.2015;56,45;05.11.2014;80,61
21.04.2010;90,98;02.05.2016;55,03;16.10.2012;92,09;17.10.2011;91,31;09.11.2017;51,13;09.11.2016;54,04;10.11.2015;56,7;06.11.2014;80,81
22.04.2010;91,09;03.05.2016;54,9;17.10.2012;92,39;18.10.2011;93,02;10.11.2017;51,45;10.11.2016;53,78;11.11.2015;55,72;07.11.2014;80,53
23.04.2010;92,23;04.05.2016;55,23;18.10.2012;91,31;19.10.2011;91,52;13.11.2017;51,84;11.11.2016;52,72;12.11.2015;55,44;10.11.2014;80,11
26.04.2010;92,12;05.05.2016;55,74;19.10.2012;90,48;20.10.2011;90,9;14.11.2017;50,97;14.11.2016;52,08;13.11.2015;55,27;11.11.2014;80,49
27.04.2010;91,56;06.05.2016;56,35;22.10.2012;90,55;21.10.2011;90,67;15.11.2017;50,74;15.11.2016;53,26;16.11.2015;55,4;12.11.2014;80,29
28.04.2010;91,78;09.05.2016;55,85;23.10.2012;89,66;24.10.2011;90,61;16.11.2017;50,25;16.11.2016;52,91;17.11.2015;54,47;13.11.2014;78,66
29.04.2010;92,22;10.05.2016;56,47;24.10.2012;89,82;25.10.2011;89,97;17.11.2017;50,25;17.11.2016;53,15;18.11.2015;54,52;14.11.2014;79,6
30.04.2010;93,11;11.05.2016;56,94;25.10.2012;90,33;26.10.2011;89,14;20.11.2017;49,84;18.11.2016;53,41;19.11.2015;54,24;17.11.2014;79,79
03.05.2010;94,75;12.05.2016;56,66;26.10.2012;91,51;27.10.2011;92,03;21.11.2017;49,68;21.11.2016;54,71;20.11.2015;54,33;18.11.2014;79,5
04.05.2010;91,48;13.05.2016;55,6;29.10.2012;90,87;28.10.2011;90,3;22.11.2017;49,91;22.11.2016;54,87;23.11.2015;54,62;19.11.2014;78,91
05.05.2010;89,04;16.05.2016;56,11;30.10.2012;90,51;31.10.2011;90,17;24.11.2017;50,24;23.11.2016;54,63;24.11.2015;55,8;20.11.2014;79,22
06.05.2010;86,28;17.05.2016;56,76;31.10.2012;89,94;01.11.2011;89,93;27.11.2017;50,8;25.11.2016;53,25;25.11.2015;55,77;21.11.2014;80,1
07.05.2010;85,35;18.05.2016;57,06;01.11.2012;90,67;02.11.2011;89,61;28.11.2017;51;28.11.2016;53,94;27.11.2015;55,13;24.11.2014;79,77
10.05.2010;87,24;19.05.2016;57,16;02.11.2012;89,83;03.11.2011;91,36;29.11.2017;51,11;29.11.2016;52,5;30.11.2015;54,91;25.11.2014;79,24
11.05.2010;87,69;20.05.2016;56,89;05.11.2012;90,78;04.11.2011;91,14;30.11.2017;51,11;30.11.2016;54,59;01.12.2015;54,83;26.11.2014;79,65
12.05.2010;88,32;23.05.2016;57,55;06.11.2012;92,32;07.11.2011;91,68;01.12.2017;51,01;01.12.2016;54,54;02.12.2015;54,35;28.11.2014;75,93
13.05.2010;87,24;24.05.2016;57,68;07.11.2012;90,16;08.11.2011;91,96;04.12.2017;51,04;02.12.2016;55,31;03.12.2015;54,96;01.12.2014;77,75
14.05.2010;84;25.05.2016;58,24;08.11.2012;90,74;09.11.2011;90,29;05.12.2017;51,31;05.12.2016;55,69;04.12.2015;54,68;02.12.2014;76,52
17.05.2010;81,03;26.05.2016;58,23;09.11.2012;92,18;10.11.2011;91,09;06.12.2017;51;06.12.2016;55,17;07.12.2015;54,25;03.12.2014;76,44
18.05.2010;80,18;27.05.2016;58,42;12.11.2012;92,35;11.11.2011;92,3;07.12.2017;51,45;07.12.2016;54,66;08.12.2015;54,12;04.12.2014;75,06
19.05.2010;79,06;30.05.2016;58,57;13.11.2012;92,4;14.11.2011;92,38;08.12.2017;51,57;08.12.2016;54,87;09.12.2015;54,02;05.12.2014;73,85
20.05.2010;77,16;31.05.2016;58,32;14.11.2012;92,24;15.11.2011;92,56;11.12.2017;51,65;09.12.2016;55,17;10.12.2015;54,32;08.12.2014;71,63
