"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1968-Q3","Q3-1968","IDX","Index","0","Units","2010_100","2010=100",25.51235921819,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1968-Q4","Q4-1968","IDX","Index","0","Units","2010_100","2010=100",26.4640011439891,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1969-Q1","Q1-1969","IDX","Index","0","Units","2010_100","2010=100",26.2876361553834,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1969-Q2","Q2-1969","IDX","Index","0","Units","2010_100","2010=100",26.8212173530251,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1969-Q3","Q3-1969","IDX","Index","0","Units","2010_100","2010=100",27.2897481892096,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1969-Q4","Q4-1969","IDX","Index","0","Units","2010_100","2010=100",27.8892209167755,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1970-Q1","Q1-1970","IDX","Index","0","Units","2010_100","2010=100",28.4595331374813,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1970-Q2","Q2-1970","IDX","Index","0","Units","2010_100","2010=100",28.9835810924956,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1970-Q3","Q3-1970","IDX","Index","0","Units","2010_100","2010=100",28.8383393371733,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1970-Q4","Q4-1970","IDX","Index","0","Units","2010_100","2010=100",29.4400551806514,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1971-Q1","Q1-1971","IDX","Index","0","Units","2010_100","2010=100",29.3576206708739,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1971-Q2","Q2-1971","IDX","Index","0","Units","2010_100","2010=100",29.4952919099922,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1971-Q3","Q3-1971","IDX","Index","0","Units","2010_100","2010=100",30.480300184987,,
