Bloomberg Index;;Precious;;Industrial;;Energy;;S&P Index;;Precious;;Industrial;;Crude Oil;;Natural Gas;;Agriculture;;Agriculture + Livestock;;Livestock;;Energy;;Copper;;Aluminium;;Gold;
Date;BCOM Index;Date;BCOMPR Index;Date;BCOMIN Index;Date;BCOMEN Index;Date;SPGSCI Index;Date;SPGSPM Index;Date;SPGSIN Index;Date;SPGSCL Index;Date;SPGSNG Index;Date;SPGSAG Index;Date;SPGSAL Index;Date;SPGSLV Index;Date;SPGSEN Index;Date;SPGSIC Index;Date;SPGSIA Index;Date;SPGSGC Index
28.02.2006;162,2336;28.02.2006;97,6875;28.02.2006;146,3851;28.02.2006;326,1896;28.02.1985;188,23;29.02.1988;555,817;28.02.1992;158,77;28.02.2002;119,15;27.02.2009;196,55;28.02.1985;200,6001;28.02.1985;182,2494;28.02.1985;183,0882;27.02.1998;57,5098;28.02.1992;161,76;28.02.2006;153,2;26.02.1993;191,6046
31.03.2006;165,194;31.03.2006;104,1604;31.03.2006;156,9021;31.03.2006;347,7954;29.03.1985;197,96;31.03.1988;595,062;31.03.1992;159,63;29.03.2002;144,2;31.03.2009;176,79;29.03.1985;209,8073;29.03.1985;190,5629;29.03.1985;191,3526;31.03.1998;58,5571;31.03.1992;159,33;31.03.2006;156,49;31.03.1993;197,5431
28.04.2006;175,7669;28.04.2006;117,8036;28.04.2006;191,0301;28.04.2006;353,791;30.04.1985;187,42;29.04.1988;586,43;30.04.1992;160,09;30.04.2002;149,57;30.04.2009;157,93;30.04.1985;200,4758;30.04.1985;180,4919;30.04.1985;178,5287;30.04.1998;57,6629;30.04.1992;157,44;28.04.2006;175,04;30.04.1993;207,9646
31.05.2006;176,6788;31.05.2006;113,4177;31.05.2006;206,9953;31.05.2006;343,5898;31.05.1985;187,62;31.05.1988;607,646;29.05.1992;159,97;31.05.2002;138,72;29.05.2009;179,56;31.05.1985;193,5547;31.05.1985;179,4016;31.05.1985;186,2636;29.05.1998;55,6876;29.05.1992;158,46;31.05.2006;167,92;31.05.1993;221,4136
30.06.2006;173,2354;30.06.2006;105,2146;30.06.2006;195,4873;30.06.2006;341,7125;28.06.1985;180,05;30.06.1988;579,757;30.06.1992;165,13;28.06.2002;147,21;30.06.2009;179,56;28.06.1985;190,2309;28.06.1985;173,0744;28.06.1985;174,2882;30.06.1998;53,8686;30.06.1992;171,94;30.06.2006;166,33;30.06.1993;220,7732
31.07.2006;178,0322;31.07.2006;108,5518;31.07.2006;207,1458;31.07.2006;363,0433;31.07.1985;173,58;29.07.1988;584,341;31.07.1992;169;31.07.2002;148,09;31.07.2009;171,04;31.07.1985;181,5576;31.07.1985;161,8454;31.07.1985;157,3178;31.07.1998;49,539;31.07.1992;176,33;31.07.2006;162,5;30.07.1993;239,462
31.08.2006;170,8761;31.08.2006;110,5391;31.08.2006;209,2962;31.08.2006;320,4398;30.08.1985;176,51;31.08.1988;576,572;31.08.1992;168,05;30.08.2002;158,83;31.08.2009;139,39;30.08.1985;178,2962;30.08.1985;158;30.08.1985;151,9557;31.08.1998;47,0399;31.08.1992;173,75;31.08.2006;158,21;31.08.1993;218,7354
29.09.2006;159,9566;29.09.2006;103,2317;29.09.2006;211,0268;29.09.2006;260,2272;30.09.1985;188,55;30.09.1988;527,335;30.09.1992;159,6;30.09.2002;166,89;30.09.2009;226,66;30.09.1985;183,8446;30.09.1985;168,7122;30.09.1985;172,3522;30.09.1998;57,6427;30.09.1992;164,18;29.09.2006;163,85;30.09.1993;207,9064
31.10.2006;166,8169;31.10.2006;105,2945;31.10.2006;226,8521;31.10.2006;249,5354;31.10.1985;201,02;31.10.1988;551,625;30.10.1992;147,79;31.10.2002;149,18;30.10.2009;236,21;31.10.1985;196,8656;31.10.1985;180,9551;31.10.1985;185,3533;30.10.1998;52,7653;30.10.1992;158,93;31.10.2006;179,49;29.10.1993;215,184
30.11.2006;175,214;30.11.2006;114,1964;30.11.2006;227,4692;30.11.2006;268,2792;29.11.1985;201,56;30.11.1988;574,449;30.11.1992;149,3;29.11.2002;147,37;30.11.2009;226,99;29.11.1985;200,5094;29.11.1985;182,8133;29.11.1985;184,7528;30.11.1998;42,0074;30.11.1992;155,17;30.11.2006;173,8;30.11.1993;216,5231
29.12.2006;166,5087;29.12.2006;109,5717;29.12.2006;220,7889;29.12.2006;231,2062;31.12.1985;196,04;30.12.1988;541,327;31.12.1992;153,5;31.12.2002;171;31.12.2009;260,89;31.12.1985;214,8512;31.12.1985;187,928;31.12.1985;176,4439;31.12.1998;44,4164;31.12.1992;162,38;29.12.2006;179,36;31.12.1993;228,1672
31.01.2007;166,0942;31.01.2007;112,6687;31.01.2007;210,5532;31.01.2007;235,5751;31.01.1986;173,94;31.01.1989;522,785;29.01.1993;148,9;31.01.2003;183,66;29.01.2010;240,24;31.01.1986;206,1017;31.01.1986;180,2929;31.01.1986;169,2446;29.01.1999;45,312;29.01.1993;155,09;31.01.2007;175,13;31.01.1994;223,3349
28.02.2007;171,0131;28.02.2007;115,6548;28.02.2007;221,5675;28.02.2007;240,4789;28.02.1986;162,92;28.02.1989;522,179;26.02.1993;145,79;28.02.2003;200,59;26.02.2010;225,35;28.02.1986;201,2709;28.02.1986;175,3797;28.02.1986;163,434;26.02.1999;43,5393;26.02.1993;150,39;28.02.2007;179,43;28.02.1994;222,6945
30.03.2007;171,9626;30.03.2007;112,7347;30.03.2007;233,2848;30.03.2007;252,9156;31.03.1986;160,04;31.03.1989;519,025;31.03.1993;141,89;31.03.2003;170,12;31.03.2010;181,15;31.03.1986;214,7277;31.03.1986;184,402;31.03.1986;167,1093;31.03.1999;58,8616;31.03.1993;150,78;30.03.2007;177,33;31.03.1994;229,5645
30.04.2007;173,2148;30.04.2007;114,5493;30.04.2007;253,2889;30.04.2007;251,5652;30.04.1986;163,5;28.04.1989;509,364;30.04.1993;134,99;30.04.2003;141,4;30.04.2010;183,54;30.04.1986;211,0516;30.04.1986;183,2639;30.04.1986;169,6636;30.04.1999;63,738;30.04.1993;132,44;30.04.2007;182,16;29.04.1994;219,9581
31.05.2007;172,7233;31.05.2007;111,4126;31.05.2007;244,8228;31.05.2007;245,829;30.05.1986;154,1;31.05.1989;485,686;31.05.1993;131,56;30.05.2003;162,01;31.05.2010;203,25;30.05.1986;189,882;30.05.1986;168,4429;30.05.1986;162,1983;31.05.1999;58,853;31.05.1993;125,16;31.05.2007;176,47;31.05.1994;227,061
29.06.2007;169,671;29.06.2007;107,104;29.06.2007;231,7863;29.06.2007;240,7471;30.06.1986;152,45;30.06.1989;496,636;30.06.1993;139,47;30.06.2003;165,46;30.06.2010;216,13;30.06.1986;160,973;30.06.1986;159,9763;30.06.1986;183,5826;30.06.1999;66,9808;30.06.1993;135,58;29.06.2007;171,91;30.06.1994;225,4891
31.07.2007;172,4463;31.07.2007;110,1988;31.07.2007;234,4349;31.07.2007;242,1767;31.07.1986;150,35;31.07.1989;498,892;30.07.1993;138;31.07.2003;167,38;30.07.2010;230,5;31.07.1986;160,7819;31.07.1986;160,5569;31.07.1986;185,4314;30.07.1999;72,0406;30.07.1993;138,4;31.07.2007;173,26;29.07.1994;226,5952
31.08.2007;165,5659;31.08.2007;108,5464;31.08.2007;216,0663;31.08.2007;224,1142;29.08.1986;163,95;31.08.1989;479,89;31.08.1993;132,5;29.08.2003;173,02;31.08.2010;178,67;29.08.1986;164,1085;29.08.1986;165,9237;29.08.1986;194,7531;31.08.1999;78,3993;31.08.1993;134,8;31.08.2007;160,02;31.08.1994;227,5268
28.09.2007;178,2499;28.09.2007;120,3377;28.09.2007;221,5736;28.09.2007;243,0593;30.09.1986;158,25;29.09.1989;491,82;30.09.1993;122,7;30.09.2003;160,04;30.09.2010;181,29;30.09.1986;173,085;30.09.1986;163,949;30.09.1986;175,7645;30.09.1999;84,6049;30.09.1993;117,4;28.09.2007;158,79;30.09.1994;231,4858
31.10.2007;183,5241;31.10.2007;126,951;31.10.2007;216,7587;31.10.2007;273,5914;31.10.1986;160,24;31.10.1989;495,628;29.10.1993;121,24;31.10.2003;159,54;29.10.2010;189,06;31.10.1986;175,0136;31.10.1986;167,1762;31.10.1986;181,4793;29.10.1999;78,2189;29.10.1993;114,66;31.10.2007;160,38;31.10.1994;224,0918
30.11.2007;177,2468;30.11.2007;124,4442;30.11.2007;199,8245;30.11.2007;251,4852;28.11.1986;160,77;30.11.1989;543,145;30.11.1993;122,1;28.11.2003;166,67;30.11.2010;195,71;28.11.1986;174,2709;28.11.1986;166,9951;28.11.1986;182,1264;30.11.1999;83,0075;30.11.1993;117,55;30.11.2007;157,49;30.11.1994;223,8589
31.12.2007;184,964;31.12.2007;131,9091;31.12.2007;190,1941;31.12.2007;266,6686;31.12.1986;159,27;29.12.1989;523,343;31.12.1993;132,49;31.12.2003;178,23;31.12.2010;206,25;31.12.1986;167,9985;31.12.1986;158,0979;31.12.1986;167,8283;31.12.1999;86,3081;31.12.1993;130,56;31.12.2007;151,77;30.12.1994;223,8007
31.01.2008;192,2861;31.01.2008;146,2872;31.01.2008;207,3065;31.01.2008;264,0858;30.01.1987;165,55;31.01.1990;537,751;31.01.1994;140,62;30.01.2004;181,14;31.01.2011;206,95;30.01.1987;170,9526;30.01.1987;163,5893;30.01.1987;178,08;31.01.2000;93,2955;31.01.1994;136,05;31.01.2008;171,37;31.01.1995;219,8999
29.02.2008;215,5208;29.02.2008;158,3201;29.02.2008;236,9014;29.02.2008;295,9496;27.02.1987;154,38;28.02.1990;528,218;28.02.1994;144,44;27.02.2004;198,18;28.02.2011;189,02;27.02.1987;169,9293;27.02.1987;162,7153;27.02.1987;177,2996;29.02.2000;101,3392;28.02.1994;135,81;29.02.2008;196,4;28.02.1995;220,2492
31.03.2008;201,5983;31.03.2008;145,5479;31.03.2008;225,6355;31.03.2008;305,4722;31.03.1987;164,63;30.03.1990;488,84;31.03.1994;143,65;31.03.2004;195,99;31.03.2011;205,5;31.03.1987;165,7985;31.03.1987;162,0581;31.03.1987;181,938;31.03.2000;92,841;31.03.1994;135,97;31.03.2008;188,82;31.03.1995;229,5645
30.04.2008;208,5523;30.04.2008;137,2208;30.04.2008;222,0858;30.04.2008;335,1564;30.04.1987;170,18;30.04.1990;484,52;29.04.1994;145,57;30.04.2004;204,87;29.04.2011;219,96;30.04.1987;176,2061;30.04.1987;173,6577;30.04.1987;197,2299;28.04.2000;90,4928;29.04.1994;143,42;30.04.2008;183,49;28.04.1995;226,1877
30.05.2008;213,9473;30.05.2008;140,3771;30.05.2008;206,7001;30.05.2008;371,8309;29.05.1987;172,38;31.05.1990;485,911;31.05.1994;157,49;31.05.2004;218,57;31.05.2011;218,47;29.05.1987;179,2358;29.05.1987;173,2163;29.05.1987;191,3224;31.05.2000;105,3429;31.05.1994;162,62;30.05.2008;185,02;31.05.1995;225,6637
30.06.2008;233,0345;30.06.2008;145,799;30.06.2008;216,2556;30.06.2008;410,7958;30.06.1987;175,77;29.06.1990;476,15;30.06.1994;166,41;30.06.2004;203,06;30.06.2011;204,79;30.06.1987;174,9229;30.06.1987;170,304;30.06.1987;190,1256;30.06.2000;115,2992;30.06.1994;169,67;30.06.2008;196,64;30.06.1995;224,4993
31.07.2008;205,1032;31.07.2008;144,7254;31.07.2008;203,2403;31.07.2008;328,2905;31.07.1987;177,81;31.07.1990;493,066;29.07.1994;167,81;30.07.2004;240,05;29.07.2011;194,07;31.07.1987;168,7153;31.07.1987;163,9029;31.07.1987;182,4088;31.07.2000;99,9114;29.07.1994;174,61;31.07.2008;187,88;31.07.1995;226,1295
29.08.2008;189,8888;29.08.2008;125,1323;29.08.2008;190,191;29.08.2008;298,3612;31.08.1987;173,81;31.08.1990;502,1;31.08.1994;174,01;31.08.2004;230,85;31.08.2011;189,81;31.08.1987;175,3423;31.08.1987;170,6393;31.08.1987;190,3836;31.08.2000;121,5265;31.08.1994;181,43;29.08.2008;170,97;31.08.1995;225,2562
30.09.2008;167,7756;30.09.2008;126,9089;30.09.2008;164,6904;30.09.2008;262,5684;30.09.1987;173,61;28.09.1990;512,649;30.09.1994;177;30.09.2004;272,06;30.09.2011;171,65;30.09.1987;179,3652;30.09.1987;170,2969;30.09.1987;183,2005;29.09.2000;116,3291;30.09.1994;176,41;30.09.2008;152,86;29.09.1995;225,0233
31.10.2008;131,9721;31.10.2008;102,8341;31.10.2008;120,3269;31.10.2008;195,0614;30.10.1987;174,25;31.10.1990;480,524;31.10.1994;196,49;29.10.2004;283,68;31.10.2011;184,19;30.10.1987;182,1073;30.10.1987;167,9347;30.10.1987;172,5288;31.10.2000;116,9079;31.10.1994;192,16;31.10.2008;128,1;31.10.1995;223,7424
28.11.2008;122,7531;28.11.2008;114,9284;28.11.2008;107,6625;28.11.2008;166,0576;30.11.1987;171,64;30.11.1990;482,826;30.11.1994;210,37;30.11.2004;269,26;30.11.2011;166,21;30.11.1987;195,4305;30.11.1987;174,945;30.11.1987;170,8365;30.11.2000;129,0373;30.11.1994;207,29;28.11.2008;111,51;30.11.1995;226,2459
31.12.2008;117,2441;31.12.2008;124,6683;31.12.2008;96,9222;31.12.2008;138,3418;31.12.1987;164,33;31.12.1990;491,571;30.12.1994;217,93;31.12.2004;238,13;30.12.2011;139,95;31.12.1987;194,2554;31.12.1987;174,2263;31.12.1987;170,7134;29.12.2000;121,1617;30.12.1994;217,24;31.12.2008;96,94;29.12.1995;225,9548
30.01.2009;110,9304;30.01.2009;132,6114;30.01.2009;91,4754;30.01.2009;121,0712;29.01.1988;166,63;31.01.1991;456,49;31.01.1995;225,89;31.01.2005;264,17;31.01.2012;117,19;29.01.1988;198,2387;29.01.1988;181,1639;29.01.1988;183,3848;31.01.2001;107,9247;31.01.1995;212,01;30.01.2009;84,72;31.01.1996;237,8319
27.02.2009;105,988;27.02.2009;135,5569;27.02.2009;91,3219;27.02.2009;112,0617;29.02.1988;163,79;28.02.1991;459,56;28.02.1995;196,81;28.02.2005;283,62;29.02.2012;122,48;29.02.1988;196,7314;29.02.1988;181,9746;29.02.1988;188,0364;28.02.2001;103,9889;28.02.1995;203,22;27.02.2009;84,29;29.02.1996;233,5818
31.03.2009;109,7822;31.03.2009;133,1549;31.03.2009;101,3781;31.03.2009;112,6715;31.03.1988;171,2;29.03.1991;449,442;31.03.1995;205,5;31.03.2005;303,63;30.03.2012;99,54;31.03.1988;194,9946;31.03.1988;184,1363;31.03.1988;196,7882;30.03.2001;101,1508;31.03.1995;209,53;31.03.2009;87,39;29.03.1996;231,9516
30.04.2009;110,5712;30.04.2009;127,6737;30.04.2009;111,1074;30.04.2009;105,8879;29.04.1988;175,01;30.04.1991;449,349;28.04.1995;199,34;29.04.2005;272,5;30.04.2012;106,99;29.04.1988;199,4088;29.04.1988;186,4174;29.04.1988;196,0285;30.04.2001;107,8709;28.04.1995;199,25;30.04.2009;93,88;30.04.1996;229,0988
29.05.2009;124,9324;29.05.2009;146,1401;29.05.2009;117,4022;29.05.2009;129,7531;31.05.1988;177,99;31.05.1991;453,854;31.05.1995;201,67;31.05.2005;284,83;31.05.2012;113,4;31.05.1988;217,3344;31.05.1988;198,4251;31.05.1988;200,5253;31.05.2001;104,162;31.05.1995;202,86;29.05.2009;90,46;31.05.1996;229,6227
30.06.2009;122,5361;30.06.2009;134,7986;30.06.2009;124,0901;30.06.2009;132,2582;30.06.1988;171,27;28.06.1991;463,121;30.06.1995;205,48;30.06.2005;309,66;29.06.2012;132,22;30.06.1988;256,7536;30.06.1988;213,7922;30.06.1988;179,9148;29.06.2001;93,3836;30.06.1995;213,28;30.06.2009;102,62;28.06.1996;222,1705
31.07.2009;126,4754;31.07.2009;138,3981;31.07.2009;143,0807;31.07.2009;129,9092;29.07.1988;169,45;31.07.1991;457,424;31.07.1995;209,17;29.07.2005;331,96;31.07.2012;150,25;29.07.1988;227,4749;29.07.1988;196,0412;29.07.1988;177,7136;31.07.2001;92,994;31.07.1995;210,16;31.07.2009;119,6;31.07.1996;228,8659
31.08.2009;125,7191;31.08.2009;140,8669;31.08.2009;150,0599;31.08.2009;121,8468;31.08.1988;167,56;30.08.1991;433,611;31.08.1995;203,23;31.08.2005;377,84;31.08.2012;131,05;31.08.1988;238,9314;31.08.1988;203,8195;31.08.1988;180,8752;31.08.2001;93,9189;31.08.1995;210,23;31.08.2009;119,91;30.08.1996;227,8179
30.09.2009;127,6833;30.09.2009;151,5811;30.09.2009;148,9763;30.09.2009;126,5759;30.09.1988;162,18;30.09.1991;443,548;29.09.1995;200,98;30.09.2005;363,04;28.09.2012;155,45;30.09.1988;234,1319;30.09.1988;204,8535;30.09.1988;191,4116;28.09.2001;81,94;29.09.1995;206,62;30.09.2009;119,25;30.09.1996;221,53
30.10.2009;131,8621;30.10.2009;153,6248;30.10.2009;154,757;30.10.2009;131,1303;31.10.1988;166,99;31.10.1991;446,553;31.10.1995;194,64;31.10.2005;327,52;31.10.2012;172,86;31.10.1988;236,1575;31.10.1988;205,1702;31.10.1988;189,0453;31.10.2001;78,1199;31.10.1995;194,29;30.10.2009;120,23;31.10.1996;220,715
30.11.2009;136,4934;30.11.2009;174,4703;30.11.2009;161,9442;30.11.2009;127,9727;30.11.1988;174,01;29.11.1991;458,65;30.11.1995;194,79;30.11.2005;314,15;30.11.2012;166,73;30.11.1988;237,7106;30.11.1988;206,6781;30.11.1988;190,727;30.11.2001;70,7531;30.11.1995;198,68;30.11.2009;130,07;29.11.1996;218,3279
31.12.2009;139,1873;31.12.2009;160,8172;31.12.2009;174,165;31.12.2009;130,7939;30.12.1988;184,41;31.12.1991;436,106;29.12.1995;193,32;30.12.2005;334,54;31.12.2012;156,9;30.12.1988;251,0768;30.12.1988;216,8235;30.12.1988;197,3735;31.12.2001;71,6468;29.12.1995;194,36;31.12.2009;140,82;31.12.1996;214,9511
29.01.2010;129,0506;29.01.2010;158,1261;29.01.2010;158,907;29.01.2010;120,0519;31.01.1989;181,64;31.01.1992;445,322;31.01.1996;185,06;31.01.2006;372,25;31.01.2013;156,33;31.01.1989;242,7999;31.01.1989;211,6508;31.01.1989;196,3535;31.01.2002;68,9262;31.01.1996;180,61;29.01.2010;131,23;31.01.1997;201,4439
26.02.2010;133,8318;26.02.2010;162,7136;26.02.2010;168,528;26.02.2010;123,9138;28.02.1989;186,39;28.02.1992;440,604;29.02.1996;184,73;28.02.2006;336,57;28.02.2013;163,22;28.02.1989;244,743;28.02.1989;213,885;28.02.1989;199,4252;28.02.2002;76,578;29.02.1996;180,75;26.02.2010;134,92;28.02.1997;212,564
31.03.2010;132,1517;31.03.2010;164,5402;31.03.2010;184,7845;31.03.2010;119,9249;31.03.1989;197,62;31.03.1992;432,606;29.03.1996;189,75;31.03.2006;365,18;29.03.2013;188,41;31.03.1989;238,1252;31.03.1989;208,7204;31.03.1989;195,7511;29.03.2002;93,9127;29.03.1996;180,82;31.03.2010;146,87;31.03.1997;206,1015
30.04.2010;134,7037;30.04.2010;174,4166;30.04.2010;178,8061;30.04.2010;122,7881;28.04.1989;197,61;30.04.1992;421,861;30.04.1996;188,13;28.04.2006;393,95;30.04.2013;203,34;28.04.1989;236,1465;28.04.1989;206,7383;28.04.1989;193,4366;30.04.2002;97,861;30.04.1996;186,63;30.04.2010;142,39;30.04.1997;198,6493
31.05.2010;125,3626;31.05.2010;177,4447;31.05.2010;158,5499;31.05.2010;110,7221;31.05.1989;188,54;29.05.1992;425,528;31.05.1996;183,38;31.05.2006;390,72;31.05.2013;186,53;31.05.1989;230,061;31.05.1989;200,7693;31.05.1989;186,6709;31.05.2002;89,6644;31.05.1996;177,27;31.05.2010;129,09;30.05.1997;202,3172
30.06.2010;125,7471;30.06.2010;181,4081;30.06.2010;149,5011;30.06.2010;112,5089;30.06.1989;189,27;30.06.1992;434,102;28.06.1996;165,53;30.06.2006;405,18;28.06.2013;166,92;30.06.1989;237,8973;30.06.1989;207,4656;30.06.1989;192,6342;28.06.2002;93,9836;28.06.1996;139,78;30.06.2010;125,32;30.06.1997;195,2142
30.07.2010;134,2481;30.07.2010;172,5094;30.07.2010;165,4341;30.07.2010;117,1766;31.07.1989;179,55;31.07.1992;449,512;31.07.1996;166,04;31.07.2006;407,76;31.07.2013;161,34;31.07.1989;224,0867;31.07.1989;198,0928;31.07.1989;188,868;31.07.2002;93,3722;31.07.1996;142,33;30.07.2010;137,54;31.07.1997;191,3134
31.08.2010;130,8135;31.08.2010;183,0596;31.08.2010;163,0674;31.08.2010;102,9519;31.08.1989;183,95;31.08.1992;428,414;30.08.1996;167,55;31.08.2006;385,07;30.08.2013;167,67;31.08.1989;226,6787;31.08.1989;198,9431;31.08.1989;187,0514;30.08.2002;100,5127;30.08.1996;146,65;31.08.2010;130,32;29.08.1997;190,6148
30.09.2010;140,2939;30.09.2010;195,2975;30.09.2010;179,8542;30.09.2010;107,6767;29.09.1989;193,22;30.09.1992;433,159;30.09.1996;155,76;29.09.2006;344,79;30.09.2013;166,68;29.09.1989;227,7591;29.09.1989;202,2206;29.09.1989;194,4105;30.09.2002;107,7576;30.09.1996;137,08;30.09.2010;148,86;30.09.1997;196,1458
29.10.2010;147,2686;29.10.2010;207,1644;29.10.2010;182,9805;29.10.2010;106,3417;31.10.1989;189,81;30.10.1992;422,319;31.10.1996;161,48;31.10.2006;321,88;31.10.2013;167,67;31.10.1989;225,1156;31.10.1989;202,0687;31.10.1989;198,2493;31.10.2002;98,9861;31.10.1996;140,7;29.10.2010;148,4;31.10.1997;181,707
30.11.2010;146,7299;30.11.2010;218,6784;30.11.2010;179,5454;30.11.2010;107,9969;30.11.1989;192,05;30.11.1992;419,478;29.11.1996;172,13;30.11.2006;345,99;29.11.2013;185,13;30.11.1989;228,0887;30.11.1989;205,5065;30.11.1989;203,0027;29.11.2002;97,9812;29.11.1996;163,1;30.11.2010;144,12;28.11.1997;173,8472
31.12.2010;162,3929;31.12.2010;229,1002;31.12.2010;202,1788;31.12.2010;116,8364;29.12.1989;207,25;31.12.1992;414,598;31.12.1996;168,79;29.12.2006;334,59;31.12.2013;198,05;29.12.1989;225,043;29.12.1989;205,0071;29.12.1989;206,5251;31.12.2002;112,5931;31.12.1996;153,1;31.12.2010;156,7;31.12.1997;168,782
31.01.2011;163,9999;31.01.2011;212,7693;31.01.2011;205,5616;31.01.2011;118,062;31.01.1990;198,83;29.01.1993;413,639;31.01.1997;177,84;31.01.2007;318,64;31.01.2014;231,44;31.01.1990;219,9217;31.01.1990;200,1263;31.01.1990;201,2311;31.01.2003;123,6341;31.01.1997;157,71;31.01.2011;159,73;30.01.1998;177,3405
28.02.2011;166,1437;28.02.2011;232,0524;28.02.2011;210,5632;28.02.2011;116,4192;28.02.1990;195,94;26.02.1993;409,598;28.02.1997;186,01;28.02.2007;338,65;28.02.2014;215,8;28.02.1990;222,8586;28.02.1990;203,5996;28.02.1990;206,1328;28.02.2003;142,639;28.02.1997;171,67;28.02.2011;164,59;27.02.1998;174,7206
31.03.2011;169,5579;31.03.2011;242,8261;31.03.2011;202,5515;31.03.2011;124,882;30.03.1990;198,61;31.03.1993;424,405;31.03.1997;185,9;30.03.2007;361,01;31.03.2014;204,65;30.03.1990;226,5618;30.03.1990;208,3018;30.03.1990;213,2053;31.03.2003;111,7374;31.03.1997;172,1;31.03.2011;167,54;31.03.1998;176,5836
29.04.2011;175,4211;29.04.2011;276,1658;29.04.2011;201,5192;29.04.2011;132,2374;30.04.1990;193,94;30.04.1993;451,377;30.04.1997;184,12;30.04.2007;360,13;30.04.2014;225,44;30.04.1990;232,8282;30.04.1990;215,6507;30.04.1990;223,4922;30.04.2003;99,378;30.04.1997;171,46;29.04.2011;175,37;30.04.1998;179,2618
31.05.2011;166,5416;31.05.2011;255,1169;31.05.2011;195,9826;31.05.2011;122,6315;31.05.1990;189,81;31.05.1993;477,185;30.05.1997;187,75;31.05.2007;350,82;30.05.2014;212,66;31.05.1990;224,4625;31.05.1990;210,4465;31.05.1990;222,4976;30.05.2003;111,5391;30.05.1997;183,37;31.05.2011;169,59;29.05.1998;171,8096
30.06.2011;158,1349;30.06.2011;244,7197;30.06.2011;195,1089;30.06.2011;114,7882;29.06.1990;184,18;30.06.1993;473,901;30.06.1997;184,37;29.06.2007;387,37;30.06.2014;208,87;29.06.1990;221,4645;29.06.1990;206,2121;29.06.1990;215,5893;30.06.2003;112,1206;30.06.1997;174,58;30.06.2011;160,24;30.06.1998;173,5562
29.07.2011;162,8146;29.07.2011;269,4975;29.07.2011;203,9429;29.07.2011;113,8291;31.07.1990;196,8;30.07.1993;518,197;31.07.1997;190,53;31.07.2007;428,64;31.07.2014;179,84;31.07.1990;201,8504;31.07.1990;196,1952;31.07.1990;219,2983;31.07.2003;110,7495;31.07.1997;167,39;29.07.2011;166,25;31.07.1998;169,1314
31.08.2011;164,4327;31.08.2011;296,6927;31.08.2011;188,6714;31.08.2011;108,218;31.08.1990;225,45;31.08.1993;472,969;29.08.1997;182,42;31.08.2007;405,79;29.08.2014;190,33;31.08.1990;194,627;31.08.1990;186,519;31.08.1990;204,1083;29.08.2003;114,2533;29.08.1997;156,75;31.08.2011;155,92;31.08.1998;162,3778
30.09.2011;140,2016;30.09.2011;250,3727;30.09.2011;150,8244;30.09.2011;96,0663;28.09.1990;270,19;30.09.1993;443,158;30.09.1997;178,98;28.09.2007;447,55;30.09.2014;192,95;28.09.1990;191,8761;28.09.1990;187,6642;28.09.1990;211,6801;30.09.2003;107,061;30.09.1997;150,76;30.09.2011;136,14;30.09.1998;174,0802
31.10.2011;149,4779;31.10.2011;270,4943;31.10.2011;164,8809;31.10.2011;104,5089;31.10.1990;249,37;29.10.1993;459,884;31.10.1997;171,67;31.10.2007;518,09;31.10.2014;181,34;31.10.1990;187,2334;31.10.1990;184,9972;31.10.1990;211,7396;31.10.2003;107,4589;31.10.1997;143,22;31.10.2011;140,91;30.10.1998;170,9945
30.11.2011;146,1596;30.11.2011;270,352;30.11.2011;159,9072;30.11.2011;103,9248;30.11.1990;227,61;30.11.1993;462,206;28.11.1997;164;30.11.2007;486,19;28.11.2014;191,4;30.11.1990;188,2203;30.11.1990;182,0649;30.11.1990;202,0509;28.11.2003;111,3764;28.11.1997;132,39;30.11.2011;134,41;30.11.1998;171,8096
30.12.2011;140,6802;30.12.2011;239,4102;30.12.2011;153,1071;30.12.2011;98,1255;31.12.1990;219,97;31.12.1993;493,103;31.12.1997;157,43;31.12.2007;526,03;31.12.2014;135,27;31.12.1990;186,7008;31.12.1990;182,788;31.12.1990;206,4837;31.12.2003;123,028;31.12.1997;123,05;30.12.2011;127,61;31.12.1998;168,3745
31.01.2012;144,1561;31.01.2012;269,7783;31.01.2012;169,819;31.01.2012;94,7213;31.01.1991;194,4476;31.01.1994;483,471;30.01.1998;155,58;31.01.2008;502,85;30.01.2015;125,99;31.01.1991;187,3004;31.01.1991;184,3199;31.01.1991;209,7572;30.01.2004;120,4229;30.01.1998;124,22;31.01.2012;141,37;29.01.1999;167,7923
29.02.2012;148,0367;29.02.2012;268,8138;29.02.2012;171,1413;29.02.2012;99,3239;28.02.1991;191,2345;28.02.1994;486,849;27.02.1998;150,43;29.02.2008;558,15;27.02.2015;128,01;28.02.1991;195,3078;28.02.1991;191,3625;28.02.1991;216,4053;27.02.2004;129,989;27.02.1998;120,43;29.02.2012;146,86;26.02.1999;167,8505
30.03.2012;141,9021;30.03.2012;259,7336;30.03.2012;161,9081;30.03.2012;92,129;29.03.1991;194,1259;31.03.1994;506,816;31.03.1998;151,43;31.03.2008;556,72;31.03.2015;123,61;29.03.1991;197,0705;29.03.1991;194,5878;29.03.1991;222,5081;31.03.2004;130,4412;31.03.1998;124,96;30.03.2012;134;31.03.1999;164,1244
